ENSEGOT00005000002.1	MTRR
ENSEGOT00005000003.1	FASTKD3
ENSEGOT00005000004.1	CFAP90
ENSEGOT00005000005.1	ADCY2
ENSEGOT00005000007.1	TENT4A
ENSEGOT00005000008.1	TENT4A
ENSEGOT00005000009.1	SRD5A1
ENSEGOT00005000010.1	NSUN2
ENSEGOT00005000011.1	UBE2QL1
ENSEGOT00005000012.1	MED10
ENSEGOT00005000013.1	MYH7
ENSEGOT00005000014.1	MYH7
ENSEGOT00005000015.1	MYH7
ENSEGOT00005000016.1	MYH7
ENSEGOT00005000017.1	UPP1
ENSEGOT00005000018.1	UPP1
ENSEGOT00005000021.1	VWC2
ENSEGOT00005000022.1	IKZF1
ENSEGOT00005000023.1	IKZF1
ENSEGOT00005000024.1	FIGNL1
ENSEGOT00005000026.1	DDC
ENSEGOT00005000027.1	DDC
ENSEGOT00005000028.1	DDC
ENSEGOT00005000029.1	DDC
ENSEGOT00005000030.1	GRB10
ENSEGOT00005000031.1	COBL
ENSEGOT00005000032.1	COBL
ENSEGOT00005000033.1	COBL
ENSEGOT00005000034.1	COBL
ENSEGOT00005000035.1	COBL
ENSEGOT00005000036.1	VSTM2A
ENSEGOT00005000037.1	VSTM2A
ENSEGOT00005000038.1	FHOD3
ENSEGOT00005000039.1	FHOD3
ENSEGOT00005000040.1	FHOD3
ENSEGOT00005000041.1	FHOD3
ENSEGOT00005000042.1	RPRD1A
ENSEGOT00005000043.1	RPRD1A
ENSEGOT00005000044.1	C18orf21
ENSEGOT00005000048.1	GALNT1
ENSEGOT00005000049.1	INO80C
ENSEGOT00005000050.1	TMEM245
ENSEGOT00005000051.1	TMEM245
ENSEGOT00005000053.1	FRRS1L
ENSEGOT00005000054.1	EPB41L4B
ENSEGOT00005000055.1	PTPN3
ENSEGOT00005000056.1	MOCOS
ENSEGOT00005000058.1	ZNF830
ENSEGOT00005000059.1	ZNF830
ENSEGOT00005000060.1	CHMP5
ENSEGOT00005000061.1	FH
ENSEGOT00005000062.1	SDHA
ENSEGOT00005000063.1	SLC6A19
